URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://stat-analytics.mediavitrina.ru/?event=first_play_or_ad&db=channels_salad&player=ott&player_id=17311&vitrina_id=1111&epg_id=7&mode=live&sid=9fbb4d0f67b736d1&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182732&location=&domain=&bitrate=4250&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&stream_ts=1749182693&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&init_before_stream_or_ad_request_msec=216&stream_or_ad_initial_buffering_msec=2807&product=app_android&is_web_player=0&is_fullscreen_mode=1&drm=1&drm_system_name=limeDRM&is_muted=1&is_subtitles_mode=0&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:19,06 Jun 2025 07:05:19,06 Jun 2025 07:05:27,06 Jun 2025 07:05:27,8220,52,11,26,0,0,8131,3.7988281,0.0,0.0,1526,641,,29756,54,,,
https://stat-analytics.mediavitrina.ru/?event=content_end&db=channels_salad&player=ott&player_id=17311&vitrina_id=1111&epg_id=7&mode=live&sid=9fbb4d0f67b736d1&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182733&drm=1&drm_system_name=limeDRM&location=&domain=&bitrate=4250&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&stream_ts=1749182693&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&content_sec=0&buffering_sec=0&buffering_count=0&is_subtitles_mode=0&is_fullscreen_mode=1&is_muted=1&product=app_android&is_web_player=0&pause_sec=0&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:19,06 Jun 2025 07:05:19,06 Jun 2025 07:05:19,06 Jun 2025 07:05:19,12,,,,0,0,12,52.001953,0.0,0.0,,585,,,54,,,
https://pl.iptv2021.com/api/v4/get-ads?id=157&tz=3,COMPLETE,200,https,GET,application/json; charset=UTF-8,/192.168.5.86,56880,pl.iptv2021.com/194.35.48.96,443,,06 Jun 2025 07:05:19,06 Jun 2025 07:05:19,06 Jun 2025 07:05:19,06 Jun 2025 07:05:19,93,0,1,9,1,82,0,7867.8906,1680.6641,8902.844,1367,354,,26567,165,720822,,
https://pl.iptv2021.com/api/v4/get-ads?id=157&tz=3,COMPLETE,200,https,GET,application/json; charset=UTF-8,/192.168.5.86,56882,pl.iptv2021.com/194.35.48.96,443,,06 Jun 2025 07:05:20,06 Jun 2025 07:05:20,06 Jun 2025 07:05:20,06 Jun 2025 07:05:20,265,0,1,8,1,255,0,2761.2021,1685.5469,2862.875,1367,359,,26567,165,720822,,
https://stat-analytics.mediavitrina.ru/?event=ad_request_no_wrapper&db=channels_salad&player=ott&player_id=17275&vitrina_id=1111&epg_id=31&mode=live&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182734&location=&domain=&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&position=preroll&product=app_android&is_web_player=0&ad_request_num=1&vast_url=https%3A%2F%2Fyandex.ru%2Fads%2Fadfox%2F277740%2FgetCode%3Fp1%3Ddfcal%26p2%3Dgdol%26puid47%3D157%26eid1%3Db1abdff8-f4f6-4f42-9f08-99f0de02cc28%26eid8%3D423f503e3c4ee9c8%26extid%3D423f503e3c4ee9c8%26google_aid%3Db1abdff8-f4f6-4f42-9f08-99f0de02cc28%26puid14%3Dlimehd.ru.ctv&ad_markup_begin_ts_msec={{AD_MARKUP_BEGIN_TS_MSEC}}&is_fullscreen_mode=1&is_muted=1&is_subtitles_mode=0&stream_ts=1749182693&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:20,06 Jun 2025 07:05:20,06 Jun 2025 07:05:20,06 Jun 2025 07:05:20,12,,,,0,0,12,68.765625,0.0,0.0,,791,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=tvis_request_no_wrapper&player_id=17275&vitrina_id=1111&player=ott&mode=live&epg_id=31&db=channels_salad&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182735&location=&domain=&user_os=android&user_os_ver_major=11&user_os_ver_minor=0&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_browser=&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_region_iso3166_2=RU-CU&product=app_android&is_web_player=0&is_subtitles_mode=0&is_fullscreen_mode=1&is_muted=1&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}}&stream_ts=1749182693,COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:22,06 Jun 2025 07:05:22,06 Jun 2025 07:05:27,06 Jun 2025 07:05:27,5392,,,,1,0,5391,0.103515625,507.8125,0.0,,520,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=first_play_or_ad&db=channels_salad&player=ott&player_id=17275&vitrina_id=1111&epg_id=31&mode=live&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182735&location=&domain=&bitrate=4250&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&stream_ts=1749182698&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&init_before_stream_or_ad_request_msec=33&stream_or_ad_initial_buffering_msec=2104&product=app_android&is_web_player=0&is_fullscreen_mode=1&drm=1&drm_system_name=limeDRM&is_muted=1&is_subtitles_mode=0&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:22,06 Jun 2025 07:05:22,06 Jun 2025 07:05:22,06 Jun 2025 07:05:22,12,,,,0,0,12,53.54785,0.0,0.0,,604,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=ad_creative_vast_loaded&db=channels_salad&player=ott&player_id=17275&vitrina_id=1111&epg_id=31&mode=live&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182736&location=&domain=&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&position=preroll&product=app_android&is_web_player=0&ad_request_num=1&vast_url=https%3A%2F%2Fyandex.ru%2Fads%2Fadfox%2F277740%2FgetCode%3Fp1%3Ddfcal%26p2%3Dgdol%26puid47%3D157%26eid1%3Db1abdff8-f4f6-4f42-9f08-99f0de02cc28%26eid8%3D423f503e3c4ee9c8%26extid%3D423f503e3c4ee9c8%26google_aid%3Db1abdff8-f4f6-4f42-9f08-99f0de02cc28%26puid14%3Dlimehd.ru.ctv&stream_ts=1749182698&is_subtitles_mode=0&is_fullscreen_mode=1&is_muted=1&is_nobanner=1&ad_markup_begin_ts_msec={{AD_MARKUP_BEGIN_TS_MSEC}}&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:23,06 Jun 2025 07:05:23,06 Jun 2025 07:05:27,06 Jun 2025 07:05:27,4882,,,,0,0,4882,0.17773438,0.0,0.0,,839,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=ad_request_no_wrapper&db=channels_salad&player=ott&player_id=17275&vitrina_id=1111&epg_id=31&mode=live&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182736&location=&domain=&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&position=preroll&product=app_android&is_web_player=0&ad_request_num=2&vast_url=https%3A%2F%2Fyandex.ru%2Fads%2Fadfox%2F277740%2FgetCode%3Fp1%3Ddfcam%26p2%3Dgdol%26puid47%3D157%26eid1%3Db1abdff8-f4f6-4f42-9f08-99f0de02cc28%26eid8%3D423f503e3c4ee9c8%26extid%3D423f503e3c4ee9c8%26google_aid%3Db1abdff8-f4f6-4f42-9f08-99f0de02cc28%26puid14%3Dlimehd.ru.ctv&ad_markup_begin_ts_msec={{AD_MARKUP_BEGIN_TS_MSEC}}&is_fullscreen_mode=1&is_muted=1&is_subtitles_mode=0&stream_ts=1749182698&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:23,06 Jun 2025 07:05:23,06 Jun 2025 07:05:23,06 Jun 2025 07:05:23,12,,,,0,0,12,68.765625,0.0,0.0,,791,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=ad_creative_vast_loaded&db=channels_salad&player=ott&player_id=17275&vitrina_id=1111&epg_id=31&mode=live&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182737&location=&domain=&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&position=preroll&product=app_android&is_web_player=0&ad_request_num=2&vast_url=https%3A%2F%2Fyandex.ru%2Fads%2Fadfox%2F277740%2FgetCode%3Fp1%3Ddfcam%26p2%3Dgdol%26puid47%3D157%26eid1%3Db1abdff8-f4f6-4f42-9f08-99f0de02cc28%26eid8%3D423f503e3c4ee9c8%26extid%3D423f503e3c4ee9c8%26google_aid%3Db1abdff8-f4f6-4f42-9f08-99f0de02cc28%26puid14%3Dlimehd.ru.ctv&stream_ts=1749182698&is_subtitles_mode=0&is_fullscreen_mode=1&is_muted=1&is_nobanner=1&ad_markup_begin_ts_msec={{AD_MARKUP_BEGIN_TS_MSEC}}&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:24,06 Jun 2025 07:05:24,06 Jun 2025 07:05:24,06 Jun 2025 07:05:24,12,,,,0,0,12,69.66113,0.0,0.0,,802,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=ad_request_no_wrapper&db=channels_salad&player=ott&player_id=17275&vitrina_id=1111&epg_id=31&mode=live&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182738&location=&domain=&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&position=preroll&product=app_android&is_web_player=0&ad_request_num=3&vast_url=https://yandex.ru/ads/adfox/277740/getCode?p1=dfcah&p2=gdol&puid47=157&puid62=6&puid63=13&eid1=b1abdff8-f4f6-4f42-9f08-99f0de02cc28&eid8=423f503e3c4ee9c8&extid=423f503e3c4ee9c8&google_aid=b1abdff8-f4f6-4f42-9f08-99f0de02cc28&puid14=limehd.ru.ctv&ad_markup_begin_ts_msec={{AD_MARKUP_BEGIN_TS_MSEC}}&is_fullscreen_mode=1&is_muted=1&is_subtitles_mode=0&stream_ts=1749182698&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:24,06 Jun 2025 07:05:24,06 Jun 2025 07:05:24,06 Jun 2025 07:05:24,11,,,,0,0,11,73.418945,0.0,0.0,,773,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=ad_creative_vast_loaded&db=channels_salad&player=ott&player_id=17275&vitrina_id=1111&epg_id=31&mode=live&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182739&location=&domain=&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&position=preroll&product=app_android&is_web_player=0&ad_request_num=3&vast_url=https://yandex.ru/ads/adfox/277740/getCode?p1=dfcah&p2=gdol&puid47=157&puid62=6&puid63=13&eid1=b1abdff8-f4f6-4f42-9f08-99f0de02cc28&eid8=423f503e3c4ee9c8&extid=423f503e3c4ee9c8&google_aid=b1abdff8-f4f6-4f42-9f08-99f0de02cc28&puid14=limehd.ru.ctv&stream_ts=1749182698&is_subtitles_mode=0&is_fullscreen_mode=1&is_muted=1&is_nobanner=0&ad_markup_begin_ts_msec={{AD_MARKUP_BEGIN_TS_MSEC}}&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:25,06 Jun 2025 07:05:25,06 Jun 2025 07:05:25,06 Jun 2025 07:05:25,11,,,,0,0,11,77.680664,0.0,0.0,,821,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=ad_creative_loaded&db=channels_salad&player=ott&player_id=17275&vitrina_id=1111&epg_id=31&mode=live&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182739&location=&domain=&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&position=preroll&product=app_android&is_web_player=0&ad_creative_banner_id={{AD_CREATIVE_BANNER_ID}}&ad_request_num=3&creative_num=1&src_url={{CREATIVE_SRC_URL}}&src_type={{CREATIVE_SRC_TYPE}}&vast_url=https://yandex.ru/ads/adfox/277740/getCode?p1=dfcah&p2=gdol&puid47=157&puid62=6&puid63=13&eid1=b1abdff8-f4f6-4f42-9f08-99f0de02cc28&eid8=423f503e3c4ee9c8&extid=423f503e3c4ee9c8&google_aid=b1abdff8-f4f6-4f42-9f08-99f0de02cc28&puid14=limehd.ru.ctv&stream_ts=1749182698&ad_markup_begin_ts_msec={{AD_MARKUP_BEGIN_TS_MSEC}}&is_subtitles_mode=0&is_fullscreen_mode=1&is_muted=1&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}}&erid={{ERID}}&is_ad_pod={{IS_AD_POD}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:25,06 Jun 2025 07:05:25,06 Jun 2025 07:05:25,06 Jun 2025 07:05:25,267,,,,0,0,267,3.5507812,0.0,0.0,,917,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=client_creative_start&db=channels_salad&player=ott&player_id=17275&vitrina_id=1111&epg_id=31&mode=live&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182743&location=&domain=&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&position=preroll&product=app_android&is_web_player=0&creative_num=1&ad_request_num=3&ad_creative_banner_id={{AD_CREATIVE_BANNER_ID}}&src_url={{CREATIVE_SRC_URL}}&src_type={{CREATIVE_SRC_TYPE}}&vast_url=https://yandex.ru/ads/adfox/277740/getCode?p1=dfcah&p2=gdol&puid47=157&puid62=6&puid63=13&eid1=b1abdff8-f4f6-4f42-9f08-99f0de02cc28&eid8=423f503e3c4ee9c8&extid=423f503e3c4ee9c8&google_aid=b1abdff8-f4f6-4f42-9f08-99f0de02cc28&puid14=limehd.ru.ctv&stream_ts=1749182702&is_subtitles_mode=0&is_fullscreen_mode=1&is_muted=1&ad_markup_begin_ts_msec={{AD_MARKUP_BEGIN_TS_MSEC}}&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}}&erid={{ERID}}&is_ad_pod={{IS_AD_POD}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:29,06 Jun 2025 07:05:29,06 Jun 2025 07:05:29,06 Jun 2025 07:05:29,12,,,,0,0,12,79.10156,0.0,0.0,,918,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=tvis_creative_start&player_id=17275&vitrina_id=1111&player=ott&mode=live&epg_id=31&db=channels_salad&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182743&location=&domain=&user_os=android&user_os_ver_major=11&user_os_ver_minor=0&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_browser=&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_region_iso3166_2=RU-CU&product=app_android&is_web_player=0&is_subtitles_mode=0&is_fullscreen_mode=1&is_muted=1&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}}&stream_ts=1749182702,COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:29,06 Jun 2025 07:05:29,06 Jun 2025 07:05:29,06 Jun 2025 07:05:29,13,,,,0,0,13,42.893555,0.0,0.0,,517,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=tvis_creative_end&player_id=17275&vitrina_id=1111&player=ott&mode=live&epg_id=31&db=channels_salad&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182743&location=&domain=&user_os=android&user_os_ver_major=11&user_os_ver_minor=0&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_browser=&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_region_iso3166_2=RU-CU&product=app_android&is_web_player=0&is_subtitles_mode=0&is_fullscreen_mode=1&is_muted=1&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}}&stream_ts=1749182702,COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:30,06 Jun 2025 07:05:30,06 Jun 2025 07:05:30,06 Jun 2025 07:05:30,13,,,,0,0,13,42.743164,0.0,0.0,,515,,,54,,,
https://stat-analytics.mediavitrina.ru/?event=client_creative_end&db=channels_salad&player=ott&player_id=17275&vitrina_id=1111&epg_id=31&mode=live&sid=e89bd8f02fca8484&uid=cac14a57-fd10-4b4e-9027-74cbe144849f&event_ts=1749182763&location=&domain=&user_os=android&device_vendor=samsung&device=mobile&device_model=SM-A127F&user_os_ver_major=11&user_os_ver_minor=0&user_browser_ver=&user_browser_ver_major=&user_browser_ver_minor=&client_timezone_offset_sec=10800&application_id=limehd.ru.ctv&user_browser=&user_region_iso3166_2=RU-CU&position=preroll&client_ad_sec=19&product=app_android&is_web_player=0&creative_num=1&ad_request_num=3&ad_creative_banner_id={{AD_CREATIVE_BANNER_ID}}&src_url={{CREATIVE_SRC_URL}}&src_type={{CREATIVE_SRC_TYPE}}&vast_url=https://yandex.ru/ads/adfox/277740/getCode?p1=dfcah&p2=gdol&puid47=157&puid62=6&puid63=13&eid1=b1abdff8-f4f6-4f42-9f08-99f0de02cc28&eid8=423f503e3c4ee9c8&extid=423f503e3c4ee9c8&google_aid=b1abdff8-f4f6-4f42-9f08-99f0de02cc28&puid14=limehd.ru.ctv&stream_ts=1749182706&is_subtitles_mode=0&is_fullscreen_mode=1&is_muted=1&ad_markup_begin_ts_msec={{AD_MARKUP_BEGIN_TS_MSEC}}&programme_id={{PROGRAMME_ID}}&season_id={{SEASON_ID}}&project_id={{PROJECT_ID}}&erid={{ERID}}&is_ad_pod={{IS_AD_POD}},COMPLETE,204,https,GET,,/192.168.5.86,56872,stat-analytics.mediavitrina.ru/193.27.224.18,443,,06 Jun 2025 07:05:49,06 Jun 2025 07:05:49,06 Jun 2025 07:05:49,06 Jun 2025 07:05:49,12,,,,0,0,12,83.00781,0.0,0.0,,966,,,54,,,
